Data;WIBOR1M;WIBOR3M;WIBOR6M;WIBOR1Y
07.01.2001;19,45;18,91;18,44;18,10
14.01.2001;19,41;19,07;18,61;18,30
21.01.2001;19,49;18,88;18,21;17,79
28.01.2001;19,39;18,85;18,31;17,74
04.02.2001;19,34;18,80;18,16;17,67
11.02.2001;19,38;18,61;18,07;17,63
18.02.2001;19,36;18,53;18,04;17,63
25.02.2001;19,29;18,57;17,99;17,61
04.03.2001;18,51;18,34;17,81;17,45
11.03.2001;18,39;18,05;17,70;17,27
18.03.2001;18,50;18,13;17,69;17,25
25.03.2001;18,43;17,88;17,37;16,97
01.04.2001;17,41;17,37;16,86;16,51
08.04.2001;17,40;17,26;16,62;16,26
15.04.2001;17,48;17,25;16,67;16,23
22.04.2001;17,45;16,93;16,41;16,04
29.04.2001;17,46;17,16;16,51;16,12
06.05.2001;17,42;17,13;16,52;16,09
13.05.2001;17,51;17,33;16,69;16,24
20.05.2001;17,67;17,39;16,70;16,27
27.05.2001;17,40;17,09;16,51;16,05
03.06.2001;17,53;17,08;16,49;15,98
10.06.2001;17,67;17,03;16,50;15,99
17.06.2001;17,54;16,89;16,26;15,86
24.06.2001;17,42;16,90;16,38;15,94
01.07.2001;16,05;16,09;15,74;15,50
08.07.2001;16,21;16,17;15,83;15,58
15.07.2001;16,25;16,24;15,97;15,84
22.07.2001;15,94;15,86;15,62;15,39
29.07.2001;15,83;15,60;15,26;15,10
05.08.2001;15,80;15,44;15,14;14,95
12.08.2001;15,80;15,33;15,04;14,92
19.08.2001;15,93;15,57;15,37;15,15
26.08.2001;15,47;15,11;14,85;14,55
02.09.2001;15,29;15,18;14,70;14,46
09.09.2001;14,83;14,80;14,53;14,30
16.09.2001;15,17;14,97;14,57;14,30
23.09.2001;14,81;14,33;13,95;13,70
30.09.2001;15,03;14,56;13,93;13,65
07.10.2001;15,00;14,35;13,66;13,30
14.10.2001;15,10;14,15;13,46;12,98
21.10.2001;14,78;13,86;12,89;12,47
28.10.2001;14,63;13,72;12,93;12,19
04.11.2001;14,85;13,95;12,99;12,14
11.11.2001;14,73;13,86;12,88;11,93
18.11.2001;15,09;14,17;13,09;11,94
25.11.2001;14,67;14,13;13,16;11,98
02.12.2001;12,47;12,45;12;11,20
09.12.2001;12,10;12,13;11,74;11,07
16.12.2001;13,41;12,97;12,18;11,29
23.12.2001;12,13;11,92;11,38;10,74
30.12.2001;12,06;11,90;11,37;10,66
06.01.2002;12,23;11,80;11,21;10,64
13.01.2002;12,12;11,05;10,55;10,02
20.01.2002;11,88;10,88;10,43;9,90
27.01.2002;11,70;10,64;10,19;9,80
03.02.2002;11,43;10,81;10,50;10,11
10.02.2002;11,29;10,88;10,53;10,05
17.02.2002;10,88;10,74;10,51;10,10
24.02.2002;10,50;10,39;10,29;9,98
03.03.2002;10,39;10,22;10,11;9,87
10.03.2002;10,38;10,27;10,13;9,89
17.03.2002;10,73;10,39;10,19;9,92
24.03.2002;10,87;10,51;10,33;9,99
31.03.2002;10,58;10,34;10,27;10,02
07.04.2002;10,50;10,30;10,23;10,06
14.04.2002;10,49;10,27;10,09;9,96
21.04.2002;10,45;10,10;9,97;9,80
28.04.2002;10,22;10,04;9,88;9,76
05.05.2002;10,19;10,10;9,93;9,77
12.05.2002;10,03;9,99;9,93;9,87
19.05.2002;9,93;9,91;9,88;9,74
26.05.2002;9,89;9,82;9,71;9,56
02.06.2002;9,74;9,60;9,60;9,44
09.06.2002;9,63;9,50;9,32;9,08
16.06.2002;9,53;9,26;9,10;8,89
23.06.2002;9,55;9,13;8,94;8,69
30.06.2002;9,26;8,97;8,74;8,52
07.07.2002;9,05;9,02;8,93;8,65
14.07.2002;8,92;8,91;8,82;8,63
21.07.2002;8,88;8,88;8,75;8,53
28.07.2002;8,91;8,82;8,73;8,51
04.08.2002;8,94;8,66;8,41;8,24
11.08.2002;8,86;8,57;8,30;8,09
18.08.2002;8,83;8,58;8,30;8,08
25.08.2002;8,75;8,53;8,27;7,99
01.09.2002;8,43;8,33;8,20;7,93
08.09.2002;8,30;8,25;8;7,72
15.09.2002;8,15;8,13;7,88;7,63
22.09.2002;7,97;7,88;7,70;7,49
29.09.2002;7,91;7,82;7,60;7,40
06.10.2002;7,71;7,68;7,39;7,15
13.10.2002;7,68;7,60;7,30;7,07
20.10.2002;7,70;7,46;7,31;7,00
27.10.2002;7,30;7,16;7,02;6,74
03.11.2002;7,18;7,02;6,80;6,60
10.11.2002;7,22;6,91;6,64;6,39
17.11.2002;7,10;6,82;6,50;6,20
24.11.2002;6,94;6,60;6,30;5,92
01.12.2002;6,97;6,76;6,52;6,25
08.12.2002;6,84;6,70;6,44;6,03
15.12.2002;7,13;6,86;6,58;6,11
22.12.2002;7,24;6,87;6,63;6,26
29.12.2002;6,92;6,88;6,63;6,20
05.01.2003;6,85;6,72;6,44;6,08
12.01.2003;6,79;6,64;6,42;6,13
19.01.2003;6,73;6,53;6,32;6,08
26.01.2003;6,72;6,48;6,26;6,07
02.02.2003;6,64;6,47;6,24;6,03
09.02.2003;6,66;6,47;6,28;6,07
16.02.2003;6,58;6,38;6,20;6,03
23.02.2003;6,43;6,29;6,12;5,94
02.03.2003;6,36;6,27;6,08;5,85
09.03.2003;6,31;6,20;6,05;5,83
16.03.2003;6,26;6,19;5,99;5,81
23.03.2003;6,21;6,15;5,94;5,80
30.03.2003;6,14;6;5,82;5,66
06.04.2003;6,15;5,98;5,80;5,60
13.04.2003;6,18;5,94;5,74;5,56
20.04.2003;6,13;5,91;5,74;5,55
27.04.2003;5,84;5,78;5,58;5,43
04.05.2003;5,85;5,70;5,55;5,36
11.05.2003;5,80;5,59;5,33;5,11
18.05.2003;5,70;5,49;5,27;5,06
25.05.2003;5,65;5,48;5,21;5,05
01.06.2003;5,60;5,40;5,19;4,96
08.06.2003;5,61;5,41;5,17;4,95
15.06.2003;5,55;5,40;5,18;4,99
22.06.2003;5,46;5,37;5,16;4,98
29.06.2003;5,35;5,35;5,16;4,99
06.07.2003;5,30;5,24;5,14;4,99
13.07.2003;5,29;5,21;5,15;4,99
20.07.2003;5,30;5,25;5,13;5,01
27.07.2003;5,30;5,27;5,17;5,02
03.08.2003;5,30;5,23;5,13;4,99
10.08.2003;5,25;5,17;5,05;4,97
17.08.2003;5,28;5,16;5,03;4,92
24.08.2003;5,20;5,10;5;4,83
31.08.2003;5,31;5,14;5,06;4,99
07.09.2003;5,28;5,15;5,07;4,92
14.09.2003;5,26;5,15;5,04;4,95
21.09.2003;5,23;5,17;5,11;4,98
28.09.2003;5,27;5,23;5,15;5,01
05.10.2003;5,34;5,29;5,24;5,15
12.10.2003;5,30;5,28;5,22;5,15
19.10.2003;5,32;5,31;5,30;5,29
26.10.2003;5,48;5,57;5,60;5,63
02.11.2003;5,59;5,86;5,95;6,10
09.11.2003;5,36;5,55;5,63;5,84
16.11.2003;5,40;5,60;5,73;5,93
23.11.2003;5,47;5,73;5,91;6,04
30.11.2003;5,54;5,83;6,02;6,28
07.12.2003;5,79;5,87;6;6,24
14.12.2003;5,47;5,61;5,68;5,95
21.12.2003;5,45;5,58;5,67;5,83
28.12.2003;5,38;5,59;5,66;5,79
04.01.2004;5,35;5,52;5,60;5,74
11.01.2004;5,41;5,43;5,45;5,48
18.01.2004;5,49;5,56;5,64;5,78
25.01.2004;5,33;5,41;5,49;5,62
01.02.2004;5,39;5,46;5,56;5,73
08.02.2004;5,40;5,50;5,63;5,82
15.02.2004;5,36;5,46;5,56;5,74
22.02.2004;5,34;5,40;5,50;5,69
29.02.2004;5,38;5,50;5,63;5,86
07.03.2004;5,38;5,50;5,64;5,89
14.03.2004;5,35;5,49;5,60;5,79
21.03.2004;5,37;5,47;5,63;5,82
28.03.2004;5,38;5,49;5,63;5,86
04.04.2004;5,58;5,60;5,73;6,05
11.04.2004;5,49;5,62;5,80;6,09
18.04.2004;5,66;5,77;5,96;6,30
25.04.2004;5,48;5,66;5,91;6,32
02.05.2004;5,69;5,85;6,06;6,54
09.05.2004;5,86;6,04;6,32;6,77
16.05.2004;5,71;5,98;6,28;6,86
23.05.2004;5,70;6,03;6,39;6,93
30.05.2004;5,72;6,01;6,33;6,86
06.06.2004;5,48;5,87;6,30;6,83
13.06.2004;5,49;5,83;6,22;6,76
20.06.2004;5,56;5,96;6,29;6,85
27.06.2004;5,52;5,85;6,21;6,71
04.07.2004;5,94;6,18;6,54;7,00
11.07.2004;5,90;6,30;6,62;7,09
18.07.2004;6,10;6,45;6,88;7,42
25.07.2004;5,98;6,36;6,85;7,39
01.08.2004;6,15;6,41;6,73;7,27
08.08.2004;6,16;6,47;6,80;7,34
15.08.2004;6,29;6,55;6,90;7,37
22.08.2004;6,22;6,50;6,78;7,20
29.08.2004;6,74;7,02;7,23;7,54
05.09.2004;6,70;7,14;7,40;7,60
12.09.2004;6,71;7,12;7,34;7,56
19.09.2004;6,85;7,11;7,31;7,49
26.09.2004;6,83;7,09;7,25;7,41
03.10.2004;6,72;6,92;7,03;7,20
10.10.2004;6,70;6,92;7,05;7,20
17.10.2004;6,67;6,85;7;7,10
24.10.2004;6,69;6,88;6,99;7,10
31.10.2004;6,66;6,84;6,92;7,05
07.11.2004;6,66;6,85;6,96;7,09
14.11.2004;6,65;6,79;6,87;7,00
21.11.2004;6,70;6,81;6,90;7,00
28.11.2004;6,70;6,78;6,85;6,91
05.12.2004;6,70;6,76;6,79;6,85
12.12.2004;6,66;6,72;6,72;6,74
19.12.2004;6,70;6,70;6,70;6,70
26.12.2004;6,75;6,70;6,69;6,60
02.01.2005;6,66;6,64;6,61;6,57
09.01.2005;6,65;6,64;6,61;6,53
16.01.2005;6,65;6,65;6,63;6,53
23.01.2005;6,63;6,63;6,60;6,56
30.01.2005;6,61;6,61;6,60;6,50
06.02.2005;6,60;6,60;6,57;6,40
13.02.2005;6,60;6,60;6,50;6,30
20.02.2005;6,55;6,51;6,35;6,10
27.02.2005;6,51;6,46;6,29;6,00
06.03.2005;6,52;6,35;6,10;5,83
13.03.2005;6,44;6,16;5,91;5,69
20.03.2005;6,33;6,10;5,90;5,64
27.03.2005;6,20;6,05;5,90;5,66
03.04.2005;6,14;5,89;5,75;5,58
10.04.2005;6,06;5,90;5,73;5,55
17.04.2005;6,00;5,79;5,65;5,52
24.04.2005;5,77;5,66;5,55;5,41
01.05.2005;5,60;5,59;5,51;5,41
08.05.2005;5,59;5,55;5,40;5,35
15.05.2005;5,56;5,50;5,43;5,39
22.05.2005;5,51;5,43;5,37;5,30
29.05.2005;5,52;5,44;5,36;5,30
05.06.2005;5,48;5,30;5,18;5,07
12.06.2005;5,45;5,29;5,14;5,00
19.06.2005;5,41;5,28;5,14;5,01
26.06.2005;5,30;5,17;4,98;4,82
03.07.2005;5,05;4,76;4,64;4,57
10.07.2005;5,00;4,72;4,58;4,49
17.07.2005;4,80;4,61;4,44;4,35
24.07.2005;4,80;4,63;4,55;4,47
31.07.2005;4,79;4,67;4,60;4,55
07.08.2005;4,80;4,69;4,64;4,60
14.08.2005;4,79;4,68;4,61;4,58
21.08.2005;4,80;4,70;4,67;4,65
